adhikarana_id,name
"Adhikarana_119","तदभावाधिकरणम्"
"Adhikarana_120","प्रभोधाधिकरणम्"
"Adhikarana_121","कर्मानुस्मृत्यधिकरणम्"
"Adhikarana_122","सम्पत्त्यधिकरणम्"
"Adhikarana_123","स्थान(तोऽप्य)भेदाधिकरणम्"
"Adhikarana_124","अरूपाधिकरणम्"
"Adhikarana_125","उपमाधिकरणम्"
"Adhikarana_126","अम्बुवदधिकरणम्"
"Adhikarana_127","वृद्धिह्रासाधिकरणम्"
"Adhikarana_128","पालकत्वाधिकरणम्"
"Adhikarana_129","अव्यक्ताधिकरणम्"
"Adhikarana_130","उभयव्यपदेशाधिकरणम्"
"Adhikarana_131","परानन्दा(परमता)धिकरणम्"
"Adhikarana_132","स्थानविशेषाधिकरणम्"
"Adhikarana_133","तथान्यत्वाधिकरणम्"
"Adhikarana_134","सर्वगतत्वाधिकरणम्"
"Adhikarana_135","फलदानाधिकरणम्"
"Adhikarana_136","सर्वेवेदा(न्तप्रत्यया)धिकरणम्"
"Adhikarana_137","उपसंहाराधिकरणम्"
"Adhikarana_138","प्राप्तैधिकरणम्"
"Adhikarana_139","सर्वाभेदाधिकरणम्"
"Adhikarana_140","आनन्दाद्यधिकरणम्"
"Adhikarana_141","प्रियशिरस्त्वाधिकरणम्"
"Adhikarana_142","इतराधिकरणम्"
"Adhikarana_143","अध्यानाधिकरणम्"
"Adhikarana_144","आत्मगृहीत्यधिकरणम्"
"Adhikarana_145","अन्वयाधिकरणम्"
"Adhikarana_146","कार्या(ख्यान)धिकरणम्"
"Adhikarana_147","समानाधिकरणम्"
"Adhikarana_148","नवाधिकरणम्"
"Adhikarana_149","सम्भृत्यधिकरणम्"
"Adhikarana_150","पुरुषविद्याधिकरणम्"
"Adhikarana_151","वेधाद्यधिकरणम्"
"Adhikarana_152","मुक्तोपासनाधिकरणम् (हान्यधिकरणम्)"
"Adhikarana_153","छन्दादिकरणम्"
"Adhikarana_154","अनियमाधिकरणम्"
"Adhikarana_155","यावदधिकाराधिकरणम्"
"Adhikarana_156","इयदामननाधिकरणम्"
"Adhikarana_157","व्यतिहाराधिकरणम्"
"Adhikarana_158","सत्याद्यधिकरणम्"
"Adhikarana_159","कामाधिकरणम्"
"Adhikarana_160","निर्धारणाधिकरणम्"
"Adhikarana_161","प्रदानाधिकरणम्"
"Adhikarana_162","गुरुप्रसादाधिकरणम् (लिङ्गभूयस्त्वाधिकरणम्)"
"Adhikarana_163","पूर्वविकल्पाधिकरणम्"
"Adhikarana_164","विद्याधिकरणम्"
"Adhikarana_165","अबाधाधिकरणम् (श्रुत्यधिकरणम्)"
"Adhikarana_166","अनुबन्धाद्यधिकरणम्"
"Adhikarana_167","दर्शनबेधादिकरणम् (प्रज्ञान्तराधिकरणम्)"
"Adhikarana_168","न सामान्याधिकरणम्"
"Adhikarana_169","ताद्विध्याधिकरणम् (परेणाधिकरणम्)"
"Adhikarana_170","एकाधिकरणम्"
"Adhikarana_171","अङ्गावबद्धाधिकरणम्"
"Adhikarana_172","भूमाधिकरणम्"
"Adhikarana_173","नाना(शब्दा)धिकरणम्"
"Adhikarana_174","विकल्पाधिकरणम्"
"Adhikarana_175","काम्याधिकरणम्"
"Adhikarana_176","यथाश्रयभावाधिकरणम् (अङ्गाधिकरणम्)"
"Adhikarana_177","नवाधिकरणम्"
"Adhikarana_178","पुरुषार्थाधिकरणम्"
"Adhikarana_179","अधिकाराधिकरणम् (असार्वत्रिकाधिकरणम्)"
"Adhikarana_180","अधिकारविशेषाधिकरणम् (अविशेषाधिकरणम्)"
"Adhikarana_181","कामचाराधिकरणम् (स्तुत्यधिकरणम्)"
"Adhikarana_182","उभयलिङ्गाधिकरणम्"
"Adhikarana_183","अधिकारिकाधिकरणम्"
"Adhikarana_184","फलश्रुत्यधिकरणम्"
"Adhikarana_185","कृत्स्नभावाधिकरणम्"
"Adhikarana_186","अनाविष्काराधिकरणम्"
"Adhikarana_187","ऐहिकाधिकरणम्"
"Adhikarana_188","मुक्तिफलाधिकरणम्"
"Adhikarana_189","आवृत्यधिकरणम्"
"Adhikarana_190","आत्मोपगमाधिकरणम्"
"Adhikarana_191","नप्रतीकाधिकरणम्"
"Adhikarana_192","ब्रह्मदृष्ट्यधिकरणम्"
"Adhikarana_193","आदित्यादिमत्यधिकरणम्"
"Adhikarana_194","आसनाधिकरणम्"
"Adhikarana_195","प्रायणाधिकरणम्"
"Adhikarana_196","तदधिगमाधिकरणम्"
"Adhikarana_197","वाङ्मनसाधिकरणम्"
"Adhikarana_198","मनोऽधिकरणम्"
"Adhikarana_199","अध्यक्षाधिकरणम्"
"Adhikarana_200","भूताधिकरणम्"
"Adhikarana_201","अनेकलयाधिकरणम् (नैकस्मिन्नधिकरणम्)"
"Adhikarana_202","समनाधिकरणम्"
"Adhikarana_203","परा(लया)धिकरणम्"
"Adhikarana_204","अविभागाधिकरणम्"
"Adhikarana_205","हृदयाग्रज्वलना(तदोकोऽ)धिकरणम्"
"Adhikarana_206","प्रतिस्मरणाधिकरणम् (योग्यधिकरणम्)"
"Adhikarana_207","अर्चिराद्यधिकरणम्"
"Adhikarana_208","वायुगत्यधिकरणम्"
"Adhikarana_209","तटिदधिकरणम्"
"Adhikarana_210","अतिवाहिकाधिकरणम्"
"Adhikarana_211","वैद्युताधिकरणम्"
"Adhikarana_212","कार्याधिकरणम्"
"Adhikarana_213","सम्पद्याधिकरणम्"
"Adhikarana_214","मुक्ताधिकरणम्"
"Adhikarana_215","आत्माधिकरणम्"
"Adhikarana_216","अविभागाधिकरणम्"
"Adhikarana_217","चितिमात्राधिकरणम् (ब्रह्माधिकरणम्)"
"Adhikarana_218","सङ्कल्पाधिकरणम्"
"Adhikarana_219","अनन्याधिपतित्वाधिकरणम्"
"Adhikarana_220","उभयविधभोगाधिकरणम्"
"Adhikarana_221","सर्वकामाधिकरणम् (जगद्व्यापाराधिकरणम्)"
"Adhikarana_222","स्थित्य(एकरूपा)धिकरणम्"
"Adhikarana_223","अनावृत्यधिकरणम्"
